time,flowcount
"12/25/2022, 01:12:41",67
"12/25/2022, 01:12:43",67
time,flowcount
"12/25/2022, 01:13:45",58
"12/25/2022, 01:13:47",248
"12/25/2022, 01:13:49",439
"12/25/2022, 01:13:51",629
"12/25/2022, 01:13:53",817
"12/25/2022, 01:13:55",1001
"12/25/2022, 01:13:57",1061
"12/25/2022, 01:13:59",1187
"12/25/2022, 01:14:01",1313
"12/25/2022, 01:14:03",1440
"12/25/2022, 01:14:05",1565
"12/25/2022, 01:14:07",1691
"12/25/2022, 01:14:09",1818
"12/25/2022, 01:14:11",1943
"12/25/2022, 01:14:13",2003
"12/25/2022, 01:14:15",2099
"12/25/2022, 01:14:17",2195
"12/25/2022, 01:14:19",2291
"12/25/2022, 01:14:21",2387
"12/25/2022, 01:14:23",2483
"12/25/2022, 01:14:25",2579
"12/25/2022, 01:14:28",2675
"12/25/2022, 01:14:29",2771
"12/25/2022, 01:14:32",2867
"12/25/2022, 01:14:33",2963
"12/25/2022, 01:14:35",3007
"12/25/2022, 01:14:38",3084
"12/25/2022, 01:14:40",3162
"12/25/2022, 01:14:42",3240
"12/25/2022, 01:14:43",3317
time,flowcount
"12/25/2022, 01:15:49",3
"12/25/2022, 01:15:51",9
"12/25/2022, 01:15:53",13
"12/25/2022, 01:15:55",17
"12/25/2022, 01:15:57",19
"12/25/2022, 01:15:59",21
"12/25/2022, 01:16:01",27
"12/25/2022, 01:16:03",31
"12/25/2022, 01:16:05",33
"12/25/2022, 01:16:07",35
"12/25/2022, 01:16:09",39
"12/25/2022, 01:16:11",41
"12/25/2022, 01:16:13",43
"12/25/2022, 01:16:15",45
"12/25/2022, 01:16:17",49
"12/25/2022, 01:16:19",51
"12/25/2022, 01:16:21",51
"12/25/2022, 01:16:23",51
"12/25/2022, 01:16:25",53
"12/25/2022, 01:16:27",59
"12/25/2022, 01:16:29",61
"12/25/2022, 01:16:31",67
"12/25/2022, 01:16:33",69
"12/25/2022, 01:16:35",71
"12/25/2022, 01:16:37",71
"12/25/2022, 01:16:39",71
"12/25/2022, 01:16:41",73
time,flowcount
"12/25/2022, 01:16:50",79
time,flowcount
"12/25/2022, 01:17:00",1
"12/25/2022, 01:17:02",1
"12/25/2022, 01:17:04",9
"12/25/2022, 01:17:06",11
"12/25/2022, 01:17:08",17
time,flowcount
"12/25/2022, 01:18:06",7
"12/25/2022, 01:18:08",7
"12/25/2022, 01:18:10",9
"12/25/2022, 01:18:12",9
"12/25/2022, 01:18:14",11
"12/25/2022, 01:18:16",13
"12/25/2022, 01:18:18",17
"12/25/2022, 01:18:20",23
"12/25/2022, 01:18:22",25
"12/25/2022, 01:18:24",29
"12/25/2022, 01:18:26",31
"12/25/2022, 01:18:28",35
"12/25/2022, 01:18:30",37
"12/25/2022, 01:18:32",43
"12/25/2022, 01:18:34",45
"12/25/2022, 01:18:36",45
"12/25/2022, 01:18:38",47
"12/25/2022, 01:18:40",51
"12/25/2022, 01:18:42",53
"12/25/2022, 01:18:44",55
"12/25/2022, 01:18:46",61
"12/25/2022, 01:18:48",63
"12/25/2022, 01:18:50",67
"12/25/2022, 01:18:52",67
"12/25/2022, 01:18:54",67
"12/25/2022, 01:18:56",67
"12/25/2022, 01:18:58",77
"12/25/2022, 01:19:00",79
"12/25/2022, 01:19:02",81
