time,sfe,ssip,rfip,type
"12/26/2022, 06:12:24",6,0,1.0,0
"12/26/2022, 06:12:26",2,0,1.0,0
"12/26/2022, 06:12:28",2,0,1.0,0
"12/26/2022, 06:12:30",4,0,1.0,0
"12/26/2022, 06:12:32",2,0,1.0,0
"12/26/2022, 06:12:34",0,0,1.0,0
"12/26/2022, 06:12:36",2,0,1.0,0
"12/26/2022, 06:12:38",0,0,1.0,0
"12/26/2022, 06:12:40",6,0,1.0,0
"12/26/2022, 06:12:42",0,0,1.0,0
"12/26/2022, 06:12:44",0,0,1.0,0
"12/26/2022, 06:12:46",2,0,1.0,0
"12/26/2022, 06:12:48",0,0,1.0,0
"12/26/2022, 06:12:50",0,0,1.0,0
"12/26/2022, 06:12:52",0,0,1.0,0
time,sfe,ssip,rfip,type
"12/26/2022, 06:13:30",144,143,0.013986013986013986,0
"12/26/2022, 06:13:32",190,190,0.006006006006006006,0
"12/26/2022, 06:13:34",191,191,0.003816793893129771,0
"12/26/2022, 06:13:36",190,190,0.0028011204481792717,0
"12/26/2022, 06:13:38",190,190,0.0022123893805309734,0
"12/26/2022, 06:13:40",98,98,0.001996007984031936,0
"12/26/2022, 06:13:42",121,121,0.0017809439002671415,0
"12/26/2022, 06:13:44",126,126,0.0016012810248198558,0
"12/26/2022, 06:13:46",126,126,0.0014545454545454545,0
"12/26/2022, 06:13:48",126,126,0.0013324450366422385,0
"12/26/2022, 06:13:50",127,127,0.0012285012285012285,0
"12/26/2022, 06:13:52",125,125,0.0011409013120365088,0
"12/26/2022, 06:13:54",126,126,0.0010643959552953698,0
"12/26/2022, 06:13:56",123,123,0.000999000999000999,0
"12/26/2022, 06:13:58",47,47,0.0009760858955588092,0
"12/26/2022, 06:14:00",96,96,0.0009324009324009324,0
"12/26/2022, 06:14:02",97,97,0.0008920606601248885,0
"12/26/2022, 06:14:04",96,96,0.000855431993156544,0
"12/26/2022, 06:14:06",96,96,0.0008216926869350862,0
"12/26/2022, 06:14:08",96,96,0.0007905138339920949,0
"12/26/2022, 06:14:10",96,96,0.0007616146230007616,0
"12/26/2022, 06:14:12",96,96,0.0007347538574577516,0
"12/26/2022, 06:14:14",96,96,0.0007097232079489,0
"12/26/2022, 06:14:16",96,96,0.0006863417982155113,0
"12/26/2022, 06:14:18",88,88,0.0006662225183211193,0
"12/26/2022, 06:14:20",43,43,0.0006568144499178982,0
"12/26/2022, 06:14:22",78,78,0.0006404098623118795,0
"12/26/2022, 06:14:24",77,77,0.000625,0
"12/26/2022, 06:14:26",78,78,0.0006101281269066504,0
"12/26/2022, 06:14:28",77,77,0.0005961251862891207,0
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
